split,id,language,audio_seconds,tokens,request_ms,prompt_ms,encoder_wall_ms,prompt_other_ms,decode_ms,other_ms,decode_ms_per_token,stable_text
pilot,01219,zh,2.0,10,201.75079995533451,55.812,13.523000000001048,42.098000000000404,120.846,25.977799955334504,13.427333333333333,True
pilot,00819,zh,4.3999375,18,300.720100000035,59.741,16.52100000000064,43.416999999999334,222.104,12.137300048623246,13.064941176470589,True
pilot,00530,en,2.2099375,8,177.99690004903823,55.428,12.94000000000051,42.0580000000001,94.1,27.03039999664574,13.442857142857141,True
pilot,00047,en,7.04,25,396.67619997635484,65.155,19.681000000000495,45.362000000000336,310.993,17.796199976354842,12.958041666666666,True
pilot,00989,mixed,2.2301875,10,198.2553999987431,55.398,13.338999999999942,42.12399999999878,119.476,20.83950000198186,13.27511111111111,True
pilot,01055,mixed,11.34,30,508.4056999767199,97.532,47.30400000000009,50.54799999999973,376.628,34.98989996635544,12.987172413793102,True
holdout,00127,zh,2.41,12,223.43209997052327,55.282,13.557999999999083,41.174000000000916,144.698,22.250300023864952,13.154363636363637,True
holdout,01040,zh,6.18,19,324.67579998774454,64.238,18.17899999999827,44.727999999999895,234.32,27.675399997055536,13.017777777777777,True
holdout,01091,en,2.0400625,9,183.69720003101975,55.472,13.002999999998792,42.78200000000131,107.426,22.928200019709763,13.42825,True
holdout,00048,en,6.71,22,363.4013999835588,64.822,17.95799999999872,46.86400000000128,273.947,26.050199954666198,13.045095238095238,True
holdout,00358,mixed,2.58,14,247.68239998957142,55.173,12.89100000000326,41.91500000000247,172.297,20.44819998819753,13.253615384615385,True
holdout,00361,mixed,9.14,30,497.0873999991454,94.591,45.699000000000524,49.22900000000219,375.344,27.854399999145414,12.942896551724138,True
