name,milliseconds,count,percent_kernel_time
mul_mat_vec_q,3531.863596,55167,81.1038406047998
mul_mat_q,241.076685,4053,5.535957010320942
rms_norm_f32,89.770205,38568,2.061435329956101
flash_attn_ext_vec,69.797657,7980,1.6027963408121633
quantize_q8_1,60.398887,55167,1.386967976199077
ampere_s16816gemm_bf16_128x64_ldg8_stages_32x6_tn,37.700054,1035,0.8657240256592132
k_bin_bcast,35.077808,9618,0.8055081606265326
flash_attn_ext_f16,28.855911,2100,0.6626318210309188
rope_multi,27.999723,19152,0.6429707743363673
im2col_kernel,27.176358,63,0.6240634575885744
k_set_rows,23.633599,19152,0.5427094207105262
ampere_s16816gemm_bf16_64x64_ldg8_stages_64x5_tn,18.761923,1164,0.4308388393467071
cpy_scalar,17.535117,1113,0.40266711765572816
mul_mat_q_stream_k_fixup,17.115717,4053,0.39303623870893745
ampere_s16816gemm_bf16_64x64_sliced1x2_ldg8_stages_64x6_tn,16.608637,288,0.38139192279015194
ampere_s1688gemm_bf16_128x128_ldg8_stages_32x1_tn,15.08832,216,0.3464801703157884
convert_unary,14.575643,3171,0.3347073278603668
ampere_h1688gemm_256x64_ldg8_stages_32x1_tn,11.222402,21,0.25770528172203694
unary_op_kernel,9.539513,588,0.21906031214672525
flash_attn_combine_results,9.485226,7980,0.21781369429888447
quantize_mmq_q8_1,8.9145,4053,0.20470784542481177
cutlass::Kernel2,8.706981,318,0.199942489277556
flash_attn_stream_k_fixup_general,7.903938,804,0.18150183614911614
unary_gated_op_kernel,6.858843,1539,0.15750282939447555
ampere_s16816gemm_bf16_256x128_ldg8_stages_32x3_tn,6.058718,72,0.13912918366891297
norm_f32,5.299762,1029,0.12170092100334189
ampere_h1688gemm_128x128_ldg8_stages_32x1_tn,3.591884,21,0.08248211729831786
flash_attn_stream_k_fixup_uniform,1.464444,1008,0.03362871456450648
ampere_h16816gemm_64x64_ldg8_stages_64x5_tn,1.105426,9,0.025384415809811874
k_get_rows_float,0.756404,606,0.01736965989238985
ampere_h16816gemm_128x64_ldg8_stages_64x3_tn,0.358619,3,0.00823513633051776
cublasLt::splitKreduce_kernel,0.290355,72,0.006667558074857953
ampere_hgemm_128x64_tn,0.149867,3,0.0034414662258433187
