label,wall_ms,kernel_count,kernel_sum_ms,gpu_active_union_ms,gpu_tail_to_response_ms,memcpy_ms,memcpy_bytes,device_allocations,graph_launches,graph_instantiations
performance/01219/1,201.02224,8795,148.191179,148.819771,1.38903,0.681685,7057256,0,9,1
performance/01219/2,186.652949,8795,154.293174,153.075647,1.410881,0.676084,7057256,0,9,0
performance/01219/3,200.260012,8795,153.357981,152.207206,1.34239,0.685616,7057256,0,9,0
performance/00819/1,333.366074,13819,254.033967,255.150945,1.154612,1.195033,12531656,0,17,1
performance/00819/2,311.013168,13819,253.507862,253.316424,1.614959,1.187604,12531656,0,17,0
performance/00819/3,302.591335,13819,252.809509,252.552471,1.199551,1.192125,12531656,0,17,0
performance/00530/1,183.16109,7551,124.326792,124.846796,1.090208,0.563046,5824288,0,7,1
performance/00530/2,193.836432,7551,129.774833,128.761926,1.292858,0.559435,5824288,0,7,0
performance/00530/3,177.214574,7551,126.083029,125.529625,1.031145,0.559239,5824288,0,7,0
performance/00047/1,407.41559,18149,339.885189,341.463091,1.292769,1.659159,17660836,0,24,1
performance/00047/2,428.403861,18149,343.622785,344.215695,1.140148,1.658713,17660836,0,24,0
performance/00047/3,411.189545,18149,341.066335,341.133932,1.178428,1.663293,17660836,0,24,0
performance/00989/1,213.415801,8795,152.045802,152.671668,1.237478,0.677391,7057256,0,9,1
performance/00989/2,201.415461,8795,153.191799,152.231738,1.307082,0.678799,7057256,0,9,0
performance/00989/3,206.98292,8795,153.110329,153.759078,1.455673,0.685393,7057256,0,9,0
performance/01055/1,520.68345,22953,425.790103,423.67846,1.376288,2.059618,21828312,0,28,0
performance/01055/2,510.424797,22953,425.170024,422.648655,1.372972,2.048188,21828312,0,28,0
performance/01055/3,506.24488,22953,424.48203,422.749488,1.492156,2.052366,21828312,0,28,0
